repository_field,original_source,source_type,license_status,confidence,notes
Division,football-data.co.uk (declared),aggregator,upstream football-data.co.uk terms + repo MIT on packaging; redistribution caution,partially_verified,README attribution; sample cross-check required against CSV columns
MatchDate,football-data.co.uk (declared),aggregator,upstream football-data.co.uk terms + repo MIT on packaging; redistribution caution,partially_verified,README attribution; sample cross-check required against CSV columns
MatchTime,football-data.co.uk (declared),aggregator,upstream football-data.co.uk terms + repo MIT on packaging; redistribution caution,partially_verified,README attribution; sample cross-check required against CSV columns
HomeTeam,football-data.co.uk (declared),aggregator,upstream football-data.co.uk terms + repo MIT on packaging; redistribution caution,partially_verified,README attribution; sample cross-check required against CSV columns
AwayTeam,football-data.co.uk (declared),aggregator,upstream football-data.co.uk terms + repo MIT on packaging; redistribution caution,partially_verified,README attribution; sample cross-check required against CSV columns
HomeElo,clubelo.com through 2025-06-01; provisional repo continuation thereafter,rating_provider,ClubElo terms unknown in this audit; provisional Elo is author-generated,suspect,HomeElo/AwayElo join method undocumented; post-2025-06-01 values are not ClubElo primary
AwayElo,clubelo.com through 2025-06-01; provisional repo continuation thereafter,rating_provider,ClubElo terms unknown in this audit; provisional Elo is author-generated,suspect,HomeElo/AwayElo join method undocumented; post-2025-06-01 values are not ClubElo primary
Form3Home,derived in repository from match results,derived,derived from football-data.co.uk results,unknown,Must reconstruct with explicit lag before APPROVED prematch use
Form5Home,derived in repository from match results,derived,derived from football-data.co.uk results,unknown,Must reconstruct with explicit lag before APPROVED prematch use
Form3Away,derived in repository from match results,derived,derived from football-data.co.uk results,unknown,Must reconstruct with explicit lag before APPROVED prematch use
Form5Away,derived in repository from match results,derived,derived from football-data.co.uk results,unknown,Must reconstruct with explicit lag before APPROVED prematch use
FTHome,football-data.co.uk (declared),aggregator,upstream football-data.co.uk terms + repo MIT on packaging; redistribution caution,partially_verified,README attribution; sample cross-check required against CSV columns
FTAway,football-data.co.uk (declared),aggregator,upstream football-data.co.uk terms + repo MIT on packaging; redistribution caution,partially_verified,README attribution; sample cross-check required against CSV columns
FTResult,football-data.co.uk (declared),aggregator,upstream football-data.co.uk terms + repo MIT on packaging; redistribution caution,partially_verified,README attribution; sample cross-check required against CSV columns
HTHome,football-data.co.uk (declared),aggregator,upstream football-data.co.uk terms + repo MIT on packaging; redistribution caution,partially_verified,README attribution; sample cross-check required against CSV columns
HTAway,football-data.co.uk (declared),aggregator,upstream football-data.co.uk terms + repo MIT on packaging; redistribution caution,partially_verified,README attribution; sample cross-check required against CSV columns
HTResult,football-data.co.uk (declared),aggregator,upstream football-data.co.uk terms + repo MIT on packaging; redistribution caution,partially_verified,README attribution; sample cross-check required against CSV columns
HomeShots,football-data.co.uk (declared),aggregator,upstream football-data.co.uk terms + repo MIT on packaging; redistribution caution,partially_verified,README attribution; sample cross-check required against CSV columns
AwayShots,football-data.co.uk (declared),aggregator,upstream football-data.co.uk terms + repo MIT on packaging; redistribution caution,partially_verified,README attribution; sample cross-check required against CSV columns
HomeTarget,football-data.co.uk (declared),aggregator,upstream football-data.co.uk terms + repo MIT on packaging; redistribution caution,partially_verified,README attribution; sample cross-check required against CSV columns
AwayTarget,football-data.co.uk (declared),aggregator,upstream football-data.co.uk terms + repo MIT on packaging; redistribution caution,partially_verified,README attribution; sample cross-check required against CSV columns
HomeFouls,football-data.co.uk (declared),aggregator,upstream football-data.co.uk terms + repo MIT on packaging; redistribution caution,partially_verified,README attribution; sample cross-check required against CSV columns
AwayFouls,football-data.co.uk (declared),aggregator,upstream football-data.co.uk terms + repo MIT on packaging; redistribution caution,partially_verified,README attribution; sample cross-check required against CSV columns
