field,reason,leakage_mechanism,safe_reconstruction_method,feature_class
FTHome,Full-time / half-time result or match statistic realized during/after the match,Uses information unavailable at pre-match decision_time,Store only as post-match outcomes/stats with observed_at after final whistle; never feed STRICT_AS_OF prematch models,POST_MATCH
FTAway,Full-time / half-time result or match statistic realized during/after the match,Uses information unavailable at pre-match decision_time,Store only as post-match outcomes/stats with observed_at after final whistle; never feed STRICT_AS_OF prematch models,POST_MATCH
FTResult,Full-time / half-time result or match statistic realized during/after the match,Uses information unavailable at pre-match decision_time,Store only as post-match outcomes/stats with observed_at after final whistle; never feed STRICT_AS_OF prematch models,POST_MATCH
HTHome,Full-time / half-time result or match statistic realized during/after the match,Uses information unavailable at pre-match decision_time,Store only as post-match outcomes/stats with observed_at after final whistle; never feed STRICT_AS_OF prematch models,POST_MATCH
HTAway,Full-time / half-time result or match statistic realized during/after the match,Uses information unavailable at pre-match decision_time,Store only as post-match outcomes/stats with observed_at after final whistle; never feed STRICT_AS_OF prematch models,POST_MATCH
HTResult,Full-time / half-time result or match statistic realized during/after the match,Uses information unavailable at pre-match decision_time,Store only as post-match outcomes/stats with observed_at after final whistle; never feed STRICT_AS_OF prematch models,POST_MATCH
HomeShots,Full-time / half-time result or match statistic realized during/after the match,Uses information unavailable at pre-match decision_time,Store only as post-match outcomes/stats with observed_at after final whistle; never feed STRICT_AS_OF prematch models,POST_MATCH
AwayShots,Full-time / half-time result or match statistic realized during/after the match,Uses information unavailable at pre-match decision_time,Store only as post-match outcomes/stats with observed_at after final whistle; never feed STRICT_AS_OF prematch models,POST_MATCH
HomeTarget,Full-time / half-time result or match statistic realized during/after the match,Uses information unavailable at pre-match decision_time,Store only as post-match outcomes/stats with observed_at after final whistle; never feed STRICT_AS_OF prematch models,POST_MATCH
AwayTarget,Full-time / half-time result or match statistic realized during/after the match,Uses information unavailable at pre-match decision_time,Store only as post-match outcomes/stats with observed_at after final whistle; never feed STRICT_AS_OF prematch models,POST_MATCH
HomeFouls,Full-time / half-time result or match statistic realized during/after the match,Uses information unavailable at pre-match decision_time,Store only as post-match outcomes/stats with observed_at after final whistle; never feed STRICT_AS_OF prematch models,POST_MATCH
AwayFouls,Full-time / half-time result or match statistic realized during/after the match,Uses information unavailable at pre-match decision_time,Store only as post-match outcomes/stats with observed_at after final whistle; never feed STRICT_AS_OF prematch models,POST_MATCH
HomeCorners,Full-time / half-time result or match statistic realized during/after the match,Uses information unavailable at pre-match decision_time,Store only as post-match outcomes/stats with observed_at after final whistle; never feed STRICT_AS_OF prematch models,POST_MATCH
AwayCorners,Full-time / half-time result or match statistic realized during/after the match,Uses information unavailable at pre-match decision_time,Store only as post-match outcomes/stats with observed_at after final whistle; never feed STRICT_AS_OF prematch models,POST_MATCH
HomeYellow,Full-time / half-time result or match statistic realized during/after the match,Uses information unavailable at pre-match decision_time,Store only as post-match outcomes/stats with observed_at after final whistle; never feed STRICT_AS_OF prematch models,POST_MATCH
AwayYellow,Full-time / half-time result or match statistic realized during/after the match,Uses information unavailable at pre-match decision_time,Store only as post-match outcomes/stats with observed_at after final whistle; never feed STRICT_AS_OF prematch models,POST_MATCH
HomeRed,Full-time / half-time result or match statistic realized during/after the match,Uses information unavailable at pre-match decision_time,Store only as post-match outcomes/stats with observed_at after final whistle; never feed STRICT_AS_OF prematch models,POST_MATCH
AwayRed,Full-time / half-time result or match statistic realized during/after the match,Uses information unavailable at pre-match decision_time,Store only as post-match outcomes/stats with observed_at after final whistle; never feed STRICT_AS_OF prematch models,POST_MATCH
C_LTH,Cluster likelihoods derived from match-style features; blank on newest rows pending model review,Likely fit using post-match shot/foul/corner patterns; formula and training window undocumented,Rebuild clusters only from lagged pre-match features with explicit as-of cutoff; otherwise BENCHMARK_ONLY,LEAKAGE_RISK
C_LTA,Cluster likelihoods derived from match-style features; blank on newest rows pending model review,Likely fit using post-match shot/foul/corner patterns; formula and training window undocumented,Rebuild clusters only from lagged pre-match features with explicit as-of cutoff; otherwise BENCHMARK_ONLY,LEAKAGE_RISK
C_VHD,Cluster likelihoods derived from match-style features; blank on newest rows pending model review,Likely fit using post-match shot/foul/corner patterns; formula and training window undocumented,Rebuild clusters only from lagged pre-match features with explicit as-of cutoff; otherwise BENCHMARK_ONLY,LEAKAGE_RISK
C_VAD,Cluster likelihoods derived from match-style features; blank on newest rows pending model review,Likely fit using post-match shot/foul/corner patterns; formula and training window undocumented,Rebuild clusters only from lagged pre-match features with explicit as-of cutoff; otherwise BENCHMARK_ONLY,LEAKAGE_RISK
C_HTB,Cluster likelihoods derived from match-style features; blank on newest rows pending model review,Likely fit using post-match shot/foul/corner patterns; formula and training window undocumented,Rebuild clusters only from lagged pre-match features with explicit as-of cutoff; otherwise BENCHMARK_ONLY,LEAKAGE_RISK
C_PHB,Cluster likelihoods derived from match-style features; blank on newest rows pending model review,Likely fit using post-match shot/foul/corner patterns; formula and training window undocumented,Rebuild clusters only from lagged pre-match features with explicit as-of cutoff; otherwise BENCHMARK_ONLY,LEAKAGE_RISK
OddHome,Odds columns lack documented observation/availability timestamps (open vs close unknown),"If values are closing (or post-kickoff), using them as prematch features leaks market information after decision_time",Re-ingest from football-data.co.uk with observation_kind dataset_open|dataset_close and temporal_precision=unknown; never invent clocks,LEAKAGE_RISK
OddDraw,Odds columns lack documented observation/availability timestamps (open vs close unknown),"If values are closing (or post-kickoff), using them as prematch features leaks market information after decision_time",Re-ingest from football-data.co.uk with observation_kind dataset_open|dataset_close and temporal_precision=unknown; never invent clocks,LEAKAGE_RISK
OddAway,Odds columns lack documented observation/availability timestamps (open vs close unknown),"If values are closing (or post-kickoff), using them as prematch features leaks market information after decision_time",Re-ingest from football-data.co.uk with observation_kind dataset_open|dataset_close and temporal_precision=unknown; never invent clocks,LEAKAGE_RISK
Over25,Odds columns lack documented observation/availability timestamps (open vs close unknown),"If values are closing (or post-kickoff), using them as prematch features leaks market information after decision_time",Re-ingest from football-data.co.uk with observation_kind dataset_open|dataset_close and temporal_precision=unknown; never invent clocks,LEAKAGE_RISK
Under25,Odds columns lack documented observation/availability timestamps (open vs close unknown),"If values are closing (or post-kickoff), using them as prematch features leaks market information after decision_time",Re-ingest from football-data.co.uk with observation_kind dataset_open|dataset_close and temporal_precision=unknown; never invent clocks,LEAKAGE_RISK
HandiSize,Odds columns lack documented observation/availability timestamps (open vs close unknown),"If values are closing (or post-kickoff), using them as prematch features leaks market information after decision_time",Re-ingest from football-data.co.uk with observation_kind dataset_open|dataset_close and temporal_precision=unknown; never invent clocks,LEAKAGE_RISK
HandiHome,Odds columns lack documented observation/availability timestamps (open vs close unknown),"If values are closing (or post-kickoff), using them as prematch features leaks market information after decision_time",Re-ingest from football-data.co.uk with observation_kind dataset_open|dataset_close and temporal_precision=unknown; never invent clocks,LEAKAGE_RISK
HandiAway,Odds columns lack documented observation/availability timestamps (open vs close unknown),"If values are closing (or post-kickoff), using them as prematch features leaks market information after decision_time",Re-ingest from football-data.co.uk with observation_kind dataset_open|dataset_close and temporal_precision=unknown; never invent clocks,LEAKAGE_RISK
MaxHome,Odds columns lack documented observation/availability timestamps (open vs close unknown),"If values are closing (or post-kickoff), using them as prematch features leaks market information after decision_time",Re-ingest from football-data.co.uk with observation_kind dataset_open|dataset_close and temporal_precision=unknown; never invent clocks,LEAKAGE_RISK
MaxDraw,Odds columns lack documented observation/availability timestamps (open vs close unknown),"If values are closing (or post-kickoff), using them as prematch features leaks market information after decision_time",Re-ingest from football-data.co.uk with observation_kind dataset_open|dataset_close and temporal_precision=unknown; never invent clocks,LEAKAGE_RISK
MaxAway,Odds columns lack documented observation/availability timestamps (open vs close unknown),"If values are closing (or post-kickoff), using them as prematch features leaks market information after decision_time",Re-ingest from football-data.co.uk with observation_kind dataset_open|dataset_close and temporal_precision=unknown; never invent clocks,LEAKAGE_RISK
MaxOver25,Odds columns lack documented observation/availability timestamps (open vs close unknown),"If values are closing (or post-kickoff), using them as prematch features leaks market information after decision_time",Re-ingest from football-data.co.uk with observation_kind dataset_open|dataset_close and temporal_precision=unknown; never invent clocks,LEAKAGE_RISK
MaxUnder25,Odds columns lack documented observation/availability timestamps (open vs close unknown),"If values are closing (or post-kickoff), using them as prematch features leaks market information after decision_time",Re-ingest from football-data.co.uk with observation_kind dataset_open|dataset_close and temporal_precision=unknown; never invent clocks,LEAKAGE_RISK
